,player,last,01-05-20,01-12-20,01-19-20,01-26-20,02-02-20,02-09-20,02-16-20,02-22-20,02-23-20,03-01-20,03-08-20,06-14-20,06-21-20,06-28-20,07-05-20,07-12-20,07-19-20,07-25-20,08-09-20,08-16-20,08-23-20,08-30-20,09-07-20,09-13-20,09-20-20,09-27-20,10-04-20,10-11-20,10-18-20,10-25-20,11-01-20,11-08-20,11-15-20,11-22-20,12-06-20,01-10-21,01-17-21,01-24-21,01-30-21,02-07-21,02-14-21,02-21-21,02-27-21,02-28-21,03-07-21,03-14-21,03-21-21,03-28-21,04-04-21,04-11-21,04-18-21,05-02-21,05-09-21,05-16-21,Unnamed: 0,05-23-21,05-30-21
100,Glen Day,Day,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Scott de Borba,de Borba,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Brendon de Jonge,de Jonge,,,,,,,,45.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
103,Bryson DeChambeau,DeChambeau,,,,,60.0,,94.0,,97.0,,96.0,97.0,91.0,93.0,100.0,,0.0,,96.0,,0.0,29.0,20.0,,100.0,,,89.0,,,,,45.0,,,82.0,,,,,,0.0,,66.0,99.0,98.0,,,,47.0,,,94.0,63.0,37.0,74.0,
104,Graham DeLaet,DeLaet,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
105,Thomas Detry,Detry,,,,,,,,,,,,,,,,,,,,,,,,,21.0,57.0,,,,,,,,,,,,,,,,,,59.0,,,,89.0,,,,,,,95.0,0.0,
106,Roberto Díaz,Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
107,Justin Doeden,Doeden,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Luke Donald,Donald,,,,,0.0,63.0,,,,90.0,,,0.0,1.0,26.0,0.0,,0.0,,0.0,,,,0.0,,,0.0,2.0,,,43.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,65.0,0.0,91.0,,,
109,Jared du Toit,du Toit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
110,Jason Dufner,Dufner,,0.0,63.0,74.0,,60.0,46.0,,,79.0,,1.0,47.0,,0.0,18.0,42.0,54.0,0.0,61.0,,,,62.0,,,0.0,0.0,,,16.0,0.0,,0.0,28.0,,,0.0,50.0,0.0,82.0,,,,68.0,0.0,62.0,,0.0,,0.0,63.0,70.0,,102.0,0.0,46.0
111,Eric Dugas,Dugas,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
112,Tyler Duncan,Duncan,41.0,0.0,58.0,,0.0,0.0,46.0,,,0.0,0.0,45.0,64.0,54.0,26.0,,9.0,,0.0,84.0,60.0,32.0,,0.0,46.0,,,0.0,65.0,65.0,,0.0,0.0,0.0,69.0,,,23.0,0.0,0.0,0.0,67.0,,,52.0,0.0,0.0,62.0,66.0,,0.0,72.0,0.0,0.0,,,
113,David Duval,Duval,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
114,Austin Eckroat,Eckroat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
115,Ernie Els,Els,,,,,,,,,,,,,37.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
